symbol,trade_date,close,trade_volume,share_volume,intraday_volatility,share_volume_5d,share_volume_20d,volume_ratio_5d_20d,trade_density,momentum_5d,momentum_20d,momentum_60d
BFL.N0000,2026-01-06,97.2,1153,1265703,9.15637860082305,556293.6666666666,556293.6666666666,1.0,1097.7476149176061,0.0,0.0,0.0
SLND.N0000,2026-01-06,1710.25,3,15,2.397310334746382,8.0,8.0,1.0,5.0,0.0,0.0,0.0
BFN.N0000,2026-01-06,40.0,21,12771,2.5,7633.333333333333,7633.333333333333,1.0,608.1428571428571,0.0,0.0,0.0
UAL.N0000,2026-01-06,80.7,45,57275,3.717472118959108,30922.333333333332,30922.333333333332,1.0,1272.7777777777778,0.0,0.0,0.0
SIRA.N0000,2026-01-06,36.3,642,2832746,3.3057851239669303,5956714.666666667,5956714.666666667,1.0,4412.376947040499,0.0,0.0,0.0
BIL.N0000,2026-01-06,6.7,380,4799632,2.9850746268656745,3768417.6666666665,3768417.6666666665,1.0,12630.61052631579,0.0,0.0,0.0
SINS.N0000,2026-01-06,89.0,87,113301,0.7865168539325874,143129.0,143129.0,1.0,1302.3103448275863,0.0,0.0,0.0
AGST.N0000,2026-01-06,9.3,93,887086,3.2258064516129106,733139.0,733139.0,1.0,9538.559139784946,0.0,0.0,0.0
ATLL.N0000,2026-01-06,35.3,55,33596,5.6657223796034,19973.666666666668,19973.666666666668,1.0,610.8363636363637,0.0,0.0,0.0
CIT.N0000,2026-01-06,493.25,7,293,4.054738976178409,670.0,670.0,1.0,41.857142857142854,0.0,0.0,0.0
RICH.N0000,2026-01-06,42.9,96,143379,3.962703962703953,242981.33333333334,242981.33333333334,1.0,1493.53125,0.0,0.0,0.0
LPL.X0000,2026-01-06,10.1,43,118580,2.9702970297029774,184879.33333333334,184879.33333333334,1.0,2757.6744186046512,0.0,0.0,0.0
GLAS.N0000,2026-01-06,55.0,15,12634,0.3636363636363688,24067.0,24067.0,1.0,842.2666666666667,0.0,0.0,0.0
LPL.N0000,2026-01-06,14.1,54,109019,2.8368794326241162,98023.33333333333,98023.33333333333,1.0,2018.8703703703704,0.0,0.0,0.0
GRAN.N0000,2026-01-06,468.5,598,325620,12.593383137673426,121596.66666666667,121596.66666666667,1.0,544.5150501672241,0.0,0.0,0.0
LOLC.N0000,2026-01-06,567.0,188,75423,2.954144620811287,32046.333333333332,32046.333333333332,1.0,401.18617021276594,0.0,0.0,0.0
GREG.N0000,2026-01-06,155.25,88,23367,5.152979066022544,15346.666666666666,15346.666666666666,1.0,265.53409090909093,0.0,0.0,0.0
LOFC.N0000,2026-01-06,5.8,161,888430,3.448275862068969,2918360.6666666665,2918360.6666666665,1.0,5518.198757763975,0.0,0.0,0.0
GUAR.N0000,2026-01-06,279.5,22,2214,0.9838998211091234,8084.666666666667,8084.666666666667,1.0,100.63636363636364,0.0,0.0,0.0
