symbol,price,date,time,timestamp
HPFL.N0000,15.0,2026-02-10,15:45:27,2026-02-10 15:45:27
HOPL.N0000,51.4,2026-02-10,15:45:27,2026-02-10 15:45:27
HNBF.X0000,7.9,2026-02-10,15:45:27,2026-02-10 15:45:27
HNBF.N0000,8.1,2026-02-10,15:45:27,2026-02-10 15:45:27
HNB.X0000,368.75,2026-02-10,15:45:27,2026-02-10 15:45:27
HNB.N0000,428.75,2026-02-10,15:45:27,2026-02-10 15:45:27
HHL.N0000,34.2,2026-02-10,15:45:27,2026-02-10 15:45:27
HEXP.N0000,119.75,2026-02-10,15:45:27,2026-02-10 15:45:27
HELA.N0000,3.3,2026-02-10,15:45:27,2026-02-10 15:45:27
HDFC.N0000,56.9,2026-02-10,15:45:27,2026-02-10 15:45:27
HBS.N0000,20.6,2026-02-10,15:45:27,2026-02-10 15:45:27
HAYL.N0000,239.0,2026-02-10,15:45:27,2026-02-10 15:45:27
HAYC.N0000,124.0,2026-02-10,15:45:27,2026-02-10 15:45:27
HASU.N0000,109.0,2026-02-10,15:45:27,2026-02-10 15:45:27
HARI.N0000,5659.0,2026-02-10,15:45:27,2026-02-10 15:45:27
HAPU.N0000,57.8,2026-02-10,15:45:27,2026-02-10 15:45:27
GUAR.N0000,274.25,2026-02-10,15:45:27,2026-02-10 15:45:27
GREG.N0000,155.0,2026-02-10,15:45:27,2026-02-10 15:45:27
GRAN.N0000,467.0,2026-02-10,15:45:27,2026-02-10 15:45:27
GLAS.N0000,57.5,2026-02-10,15:45:27,2026-02-10 15:45:27
GHLL.N0000,18.4,2026-02-10,15:45:27,2026-02-10 15:45:27
GEST.N0000,344.75,2026-02-10,15:45:27,2026-02-10 15:45:27
FCT.N0000,37.7,2026-02-10,15:45:27,2026-02-10 15:45:27
EXT.N0000,11.9,2026-02-10,15:45:27,2026-02-10 15:45:27
ETWO.N0000,70.9,2026-02-10,15:45:27,2026-02-10 15:45:27
EML.N0000,12.6,2026-02-10,15:45:27,2026-02-10 15:45:27
EMER.N0000,15.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ELPL.N0000,177.0,2026-02-10,15:45:27,2026-02-10 15:45:27
EDEN.N0000,13.1,2026-02-10,15:45:27,2026-02-10 15:45:27
ECL.N0000,17.0,2026-02-10,15:45:27,2026-02-10 15:45:27
EBCR.N0000,63.6,2026-02-10,15:45:27,2026-02-10 15:45:27
EAST.N0000,74.1,2026-02-10,15:45:27,2026-02-10 15:45:27
DPL.N0000,18.1,2026-02-10,15:45:27,2026-02-10 15:45:27
DOCK.N0000,150.75,2026-02-10,15:45:27,2026-02-10 15:45:27
DIST.N0000,60.0,2026-02-10,15:45:27,2026-02-10 15:45:27
DIPD.N0000,59.1,2026-02-10,15:45:27,2026-02-10 15:45:27
DIMO.N0000,1986.25,2026-02-10,15:45:27,2026-02-10 15:45:27
DIAL.N0000,33.3,2026-02-10,15:45:27,2026-02-10 15:45:27
DFCC.N0000,156.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CWM.N0000,43.7,2026-02-10,15:45:27,2026-02-10 15:45:27
CWL.N0000,20.6,2026-02-10,15:45:27,2026-02-10 15:45:27
CTLD.N0000,39.9,2026-02-10,15:45:27,2026-02-10 15:45:27
CTHR.N0000,646.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CTEA.N0000,1236.25,2026-02-10,15:45:27,2026-02-10 15:45:27
CTBL.N0000,12.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CSLK.N0000,14.2,2026-02-10,15:45:27,2026-02-10 15:45:27
CSF.N0000,0.1,2026-02-10,15:45:27,2026-02-10 15:45:27
CSD.N0000,30.4,2026-02-10,15:45:27,2026-02-10 15:45:27
CRL.N0000,6.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CPRT.N0000,1799.75,2026-02-10,15:45:27,2026-02-10 15:45:27
COOP.N0000,4.5,2026-02-10,15:45:27,2026-02-10 15:45:27
CONN.N0000,36.8,2026-02-10,15:45:27,2026-02-10 15:45:27
COMD.N0000,337.5,2026-02-10,15:45:27,2026-02-10 15:45:27
COMB.X0000,203.0,2026-02-10,15:45:27,2026-02-10 15:45:27
COMB.N0000,227.75,2026-02-10,15:45:27,2026-02-10 15:45:27
COLO.N0000,61.3,2026-02-10,15:45:27,2026-02-10 15:45:27
COCR.N0000,127.5,2026-02-10,15:45:27,2026-02-10 15:45:27
COCO.X0000,62.4,2026-02-10,15:45:27,2026-02-10 15:45:27
COCO.N0000,73.8,2026-02-10,15:45:27,2026-02-10 15:45:27
CLND.N0000,54.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CITW.N0000,2.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CITH.N0000,4.2,2026-02-10,15:45:27,2026-02-10 15:45:27
CIT.N0000,570.25,2026-02-10,15:45:27,2026-02-10 15:45:27
CINV.N0000,128.75,2026-02-10,15:45:27,2026-02-10 15:45:27
CINS.X0000,1790.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CINS.N0000,3213.25,2026-02-10,15:45:27,2026-02-10 15:45:27
CIND.N0000,264.5,2026-02-10,15:45:27,2026-02-10 15:45:27
CIC.X0000,29.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CIC.N0000,35.8,2026-02-10,15:45:27,2026-02-10 15:45:27
CHOT.N0000,41.7,2026-02-10,15:45:27,2026-02-10 15:45:27
CHMX.N0000,176.75,2026-02-10,15:45:27,2026-02-10 15:45:27
