symbol,rank,dimension7_v2_score,c1_trading_activity,c2_volatility_adj,c3_market_recognition,c4_volume_trends,c5_momentum,trade_volume_score,share_volume_score,trade_density_class,volatility_level,volume_trend,volume_ratio,momentum_confluence,momentum_5d_pct,momentum_20d_pct,momentum_60d_pct,momentum_5d_score,momentum_20d_score,momentum_60d_score,phase,components_active,metrics_available,scoring_date
SERV.N0000,98,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
VONE.N0000,99,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SEYB.N0000,100,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
OSEA.N0000,101,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
VFIN.N0000,102,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ABL.N0000,103,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ASCO.N0000,104,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
JAT.N0000,105,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CWM.N0000,106,69.8,62.0,55.0,50.0,95.0,95.0,62.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LPRT.N0000,107,69.5,66.0,40.0,50.0,95.0,95.0,95.0,37.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
RWSL.N0000,108,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
PAP.N0000,109,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
