symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
CTBL.N0000,12.0,12.0,12.0,11.9,12.6,-0.6,-4.76,18708,10,2026-02-11,2026-02-11 10:00:23
CTC.N0000,1770.0,1770.0,1770.0,1770.0,1767.0,3.0,0.17,27,2,2026-02-11,2026-02-11 10:00:23
CHMX.N0000,178.5,177.0,178.5,177.0,176.75,1.75,0.99,561,2,2026-02-11,2026-02-11 10:00:23
LLUB.N0000,194.0,194.0,194.0,193.75,194.25,-0.25,-0.13,295,3,2026-02-11,2026-02-11 10:00:23
CWL.N0000,19.9,19.9,19.9,19.5,19.9,0.0,0.0,14046,7,2026-02-11,2026-02-11 10:00:23
CDB.X0000,295.0,295.0,295.0,295.0,295.0,0.0,0.0,201,1,2026-02-11,2026-02-11 10:00:23
REEF.N0000,4.3,4.3,4.3,4.2,4.2,0.1,2.38,10222,5,2026-02-11,2026-02-11 10:00:23
COOP.N0000,4.5,4.5,4.6,4.4,4.4,0.1,2.27,26042,52,2026-02-11,2026-02-11 10:00:23
PHAR.N0000,139.0,139.0,139.0,139.0,139.5,-0.5,-0.36,10,1,2026-02-11,2026-02-11 10:00:23
DOCK.N0000,145.5,146.75,147.0,144.5,147.5,-2.0,-1.36,199978,220,2026-02-11,2026-02-11 10:00:23
CFI.N0000,488.0,478.0,495.0,478.0,473.5,14.5,3.06,3322,22,2026-02-11,2026-02-11 10:00:23
CLND.N0000,54.0,54.9,54.9,53.2,54.1,-0.1,-0.18,21447,8,2026-02-11,2026-02-11 10:00:23
COMB.N0000,226.75,227.25,227.75,226.5,227.75,-1.0,-0.44,6468,42,2026-02-11,2026-02-11 10:00:23
COMB.X0000,204.25,204.0,204.25,204.0,204.0,0.25,0.12,7945,6,2026-02-11,2026-02-11 10:00:23
COCR.N0000,126.0,126.25,126.25,126.0,126.25,-0.25,-0.2,1777,12,2026-02-11,2026-02-11 10:00:23
COMD.N0000,322.0,322.0,322.0,322.0,323.75,-1.75,-0.54,12,2,2026-02-11,2026-02-11 10:00:23
SOY.N0000,2560.0,2560.0,2560.0,2560.0,2527.0,33.0,1.31,1,1,2026-02-11,2026-02-11 10:00:23
DPL.N0000,18.4,18.4,18.4,18.4,18.0,0.4,2.22,734,3,2026-02-11,2026-02-11 10:00:23
